France,1960,France , Yugoslavia,4–5,Semi-finals[edit]
France,1960,Czechoslovakia , Soviet Union,0–3,Semi-finals[edit]
France,1960,Czechoslovakia , France,2–0,Third place play-off[edit]
France,1960,Soviet Union , Yugoslavia,2–1 (a.e.t.),Final[edit]
Spain,1964,Spain , Hungary,2–1 (a.e.t.),Semi-finals[edit]
Spain,1964,Denmark , Soviet Union,0–3,Semi-finals[edit]
Spain,1964,Hungary , Denmark,3–1 (a.e.t.),Third place play-off[edit]
Spain,1964,Spain , Soviet Union,2–1,Final[edit]
Italy,1968,Italy , Soviet Union,"0–0 (a.e.t.)
Italy won on coin toss",Semi-finals[edit]
Italy,1968,Yugoslavia , England,1–0,Semi-finals[edit]
Italy,1968,England , Soviet Union,2–0,Third place play-off[edit]
Italy,1968,Italy , Yugoslavia,1–1 (a.e.t.),Final[edit]
Italy,1968,Italy , Yugoslavia,2–0,Final[edit]
Belgium,1972,Hungary , Soviet Union,0–1,Semi-finals[edit]
Belgium,1972,Belgium , West Germany,1–2,Semi-finals[edit]
Belgium,1972,Hungary , Belgium,1–2,Third-place play-off[edit]
Belgium,1972,West Germany , Soviet Union,3–0,Final[edit]
Yugoslavia,1976,Czechoslovakia , Netherlands,3–1 (a.e.t.),Semi-finals[edit]
Yugoslavia,1976,Yugoslavia , West Germany,2–4 (a.e.t.),Semi-finals[edit]
Yugoslavia,1976,Netherlands , Yugoslavia,3–2 (a.e.t.),Third place play-off[edit]
Yugoslavia,1976,Czechoslovakia , West Germany,2–2 (a.e.t.),Final[edit]
Italy,1980,Czechoslovakia , West Germany,0–1,Group 1[edit]
Italy,1980,Netherlands , Greece,1–0,Group 1[edit]
Italy,1980,West Germany , Netherlands,3–2,Group 1[edit]
Italy,1980,Greece , Czechoslovakia,1–3,Group 1[edit]
Italy,1980,Netherlands , Czechoslovakia,1–1,Group 1[edit]
Italy,1980,Greece , West Germany,0–0,Group 1[edit]
Italy,1980,Belgium , England,1–1,Group 2[edit]
Italy,1980,Spain , Italy,0–0,Group 2[edit]
Italy,1980,Belgium , Spain,2–1,Group 2[edit]
Italy,1980,England , Italy,0–1,Group 2[edit]
Italy,1980,Spain , England,1–2,Group 2[edit]
Italy,1980,Italy , Belgium,0–0,Group 2[edit]
Italy,1980,Czechoslovakia , Italy,1–1,Third place play-off[edit]
Italy,1980,Belgium , West Germany,1–2,Final[edit]
France,1984,France , Denmark,1–0,Group 1[edit]
France,1984,Belgium , Yugoslavia,2–0,Group 1[edit]
France,1984,France , Belgium,5–0,Group 1[edit]
France,1984,Denmark , Yugoslavia,5–0,Group 1[edit]
France,1984,France , Yugoslavia,3–2,Group 1[edit]
France,1984,Denmark , Belgium,3–2,Group 1[edit]
France,1984,West Germany , Portugal,0–0,Group 2[edit]
France,1984,Romania , Spain,1–1,Group 2[edit]
France,1984,West Germany , Romania,2–1,Group 2[edit]
France,1984,Portugal , Spain,1–1,Group 2[edit]
France,1984,West Germany , Spain,0–1,Group 2[edit]
France,1984,Portugal , Romania,1–0,Group 2[edit]
France,1984,France , Portugal,3–2 (a.e.t.),Semi-finals[edit]
France,1984,Denmark , Spain,1–1 (a.e.t.),Semi-finals[edit]
France,1984,France , Spain,2–0,Final[edit]
West Germany,1988,West Germany , Italy,1–1,Group 1[edit]
West Germany,1988,Denmark , Spain,2–3,Group 1[edit]
